part,requirement
timing belt & water pump,AISIN TKF008 & Water Pump
serpentine belt,Genuine Subaru OEM 809218270 Alternator Belt
ac belt,Genuine Subaru 73323AC000 AC Belt
upstream air fuel sensor,Denso Upstream Air Fuel Sensor 234-9011
air filter,Genuine Subaru 16546AA020 Air Filter
spark plugs,NGK (4793) PFR6G Laser Platinum Spark Plug
oil,Shell Rotella T6 Full Synthetic 5W-40 Diesel Motor Oil
oil filter,Subaru Oil Filter (15208AA12A) & Crush Washer (11126AA000)
fuel filter,Subaru Fuel Filter (42072PA010)
brake fluid,Valvoline Synthetic Brake Fluid / Dot 3 / Dot 4
clutch fluid,Valvoline Synthetic Brake Fluid / Dot 3 / Dot 4
power steering fluid,Mobil 1 Synthetic ATF Dexron III
transmission fluid,Valvoline SynPower 75W-90 Full Synthetic Gear Oil
front & rear differential fluid,Valvoline High Performance SAE 80W-90 Gear Oil
radiator assembly,Koyo 03-07 Subaru WRX Replacement Radiator (#A2704)
radiator cap,Subaru Radiator Cap (45137AE003)
thermostat assembly,Subaru Thermostat (21200AA072) & Gasket Kit 
lower radiator hose kit,Lower Radiator Hose (45161AE020) & Clamps (091748014)
upper radiator hose kit,Upper Radiator Hose (45161FE050) & Clamps (091748014)
coolant,Subaru Long Life Genuine Coolant Prediluted SOA868V9272
oil pump seal kit,"Oil Pump Oring (10991AA001) x1
Crank Seal (806733030) x1
https://www.ebay.com/itm/132546121887 
https://awdautoparts.com/product/1990-2009-subaru-oil-pump-reseal-kit/"
front drive axle seal kit,"LH Inner Axle Seal (806730042) x1
RH Inner Axle Seal (806730041) x1
https://www.ebay.com/itm/142720708267"
three bond 1217b,"Permatex 82195 Ultra Grey
Hondabond High-Temp Silicone Liquid Gasket"
valve cover gaskets,"LH Valve Cover Gasket (13272AA094) x1
RH Valve Cover Gasket (13270AA162) x1
Spark Plug Seal  (13293AA051) x4
Bolt Grommets (13271AA071) x16
Half Moons (11051AA070) x4
Oil Separator Cover Gasket (11832AA031) x2 
Oil Filler Tube O-Ring (806922120) x1"
power streering assembly,Power Steering Hose Assembly DD78H3
rear axles & nuts,"FVP SB8043
FVP SB8044
https://www.rockauto.com/en/catalog/subaru,2003,impreza,2.0l+h4+turbocharged,1418149,drivetrain,cv+axle,2288"
pcv valve,
brake pads,
tires,P205/55R16
struts & strut mounts & rear camber bolts,"Pedders Sport Ryder EZ-Fit PED803035

KYB GR-2 / Excel-G 2003 Struts (2003 WRX)
Subaru Group-N Front Strut Mounts (2002-2007 WRX)
KYB SM5422 Rear Strut Mounts (2004 WRX)
Scooby921 Strut Spacers
Mach V Springs (2004)

KYB GR-2 / Excel-G 2004 Struts (2004 WRX)
Subaru Group-N Front Strut Mounts (2002-2007 WRX)
KYB SM5422 Rear Strut Mounts (2004 WRX)
Mach V Springs (2004)

2002-2003 WRX, WRX Wagon, 2.5RS, 2.5 TS Wagon, Outback Sport
Springs designed for 04+ Impreza will fit on your 02-03 Impreza struts or 02-03 aftermarket struts, 
but you must use 04+ rear strut top mounts and the Scooby921 strut spacer.

Pedders Rear Camber Bolt Kit 458014"
aftermarket rear camber bolts,SPC Camber Bolts EZ CAM XR 14MM
alternator,"DENSO 210-4167
ACDELCO 334-1424
12V
75A/80A
11 Clock
Solid Pully
CW Rotation"
a/c compressor,"12V
PAG 46 Oil Type
R-134A Refrigerant Type
CR14 Compressor Type"
a/c recharge freon,"A/C Pro
R-134A Refrigerant Type
UV Leak Detection"
left headlight,"high/low beams (good),  9007
parking bulb turn signal (good), 168/194
turning/cornering bulb (broken), 1156
side light (good), 168/194
fog light (broken), h3"
right headlight,"high/low beams (broken),  9007
parking bulb turn signal (good), 168/194
turning/cornering bulb (good), 1156
side light (good), 168/194
fog light (broken), h3"
lights in general,https://www.modifiedlife.com/2003-subaru-wrx-light-bulb-sizes-chart/#headlight_bulb_size
windshield wipers,"Bosch ICON 17A
Bosch ICON 22A"
